createdAt,mode,objectId,percent,time,updatedAt
2015-09-24T23:48:37.329Z,Unplugged,0AznPQ3qLt,0.94,9,2015-09-24T23:48:37.329Z
2015-09-25T00:01:07.320Z,Unplugged,0DKKODcp0e,0.83,21.5,2015-09-25T00:01:07.320Z
2015-09-25T01:04:07.386Z,Unplugged,0L0L62rWXg,0.23,84.5,2015-09-25T01:04:07.386Z
2015-09-25T08:50:01.063Z,Unplugged,0N7FMVDcxR,0.26,35.5,2015-09-25T08:50:01.063Z
2015-09-25T00:33:06.189Z,Unplugged,0QDDZP9B79,0.47,53.5,2015-09-25T00:33:06.189Z
2015-09-25T09:44:23.091Z,Charging,0Rslpdl613,0.41,77,2015-09-25T09:44:23.091Z
2015-09-25T00:14:06.433Z,Unplugged,0SIUtWwfAy,0.69,34.5,2015-09-25T00:14:06.433Z
2015-09-25T03:38:00.621Z,Unplugged,0eo7yaeVPE,0.14,99,2015-09-25T03:38:00.621Z
2015-09-25T07:06:05.229Z,Unplugged,0r34hyZLu2,0.37,22.5,2015-09-25T07:06:05.229Z
2015-09-25T11:22:58.601Z,Charging,108iWAm5By,0.98,13.5,2015-09-25T11:22:58.601Z
2015-09-25T11:10:38.142Z,Charging,178MRi5nBJ,0.96,2,2015-09-25T11:10:38.142Z
2015-09-25T09:44:53.786Z,Charging,1C7KdWzmMY,0.42,77.5,2015-09-25T09:44:53.786Z
2015-09-25T09:51:54.270Z,Charging,1HojTK95nk,0.5,84.5,2015-09-25T09:51:54.270Z
2015-09-25T06:44:55.535Z,Charging,1KLoBEA8Y2,0.27,15,2015-09-25T06:44:55.535Z
2015-09-25T09:48:53.787Z,Charging,1KMnQlTcXp,0.47,81.5,2015-09-25T09:48:53.787Z
2015-09-25T08:59:01.072Z,Unplugged,1QSGSoab22,0.24,44.5,2015-09-25T08:59:01.072Z
2015-09-24T23:49:38.037Z,Unplugged,1Z4gFISCEt,0.94,10,2015-09-24T23:49:38.037Z
2015-09-25T06:42:25.839Z,Charging,1jVYhxoikN,0.25,12.5,2015-09-25T06:42:25.839Z
2015-09-25T01:01:07.565Z,Unplugged,2JD4BuVXun,0.24,81.5,2015-09-25T01:01:07.565Z
2015-09-25T09:09:31.045Z,Unplugged,2LkMiw4Gtl,0.18,55,2015-09-25T09:09:31.045Z
2015-09-25T03:33:01.205Z,Unplugged,2WpPxMn6Xj,0.14,94,2015-09-25T03:33:01.205Z
2015-09-25T00:44:37.460Z,Unplugged,2gYdGQlD5t,0.33,65,2015-09-25T00:44:37.460Z
2015-09-25T01:05:07.374Z,Unplugged,2k9aIyRXoc,0.23,85.5,2015-09-25T01:05:07.374Z
2015-09-25T00:17:07.134Z,Unplugged,2wVy4Sei5l,0.65,37.5,2015-09-25T00:17:07.134Z
2015-09-25T06:32:25.278Z,Charging,2wdDbRDM57,0.16,2.5,2015-09-25T06:32:25.278Z
2015-09-25T07:08:34.841Z,Unplugged,300Q2Gl9Zk,0.36,25,2015-09-25T07:08:34.841Z
2015-09-25T03:40:30.360Z,Unplugged,31Cj1cX6T1,0.12,101.5,2015-09-25T03:40:30.360Z
2015-09-25T06:31:55.430Z,Charging,31eaQhrJdQ,0.15,2,2015-09-25T06:31:55.430Z
2015-09-25T11:18:05.022Z,Charging,36nYAWMjgg,0.97,8.5,2015-09-25T11:18:05.022Z
2015-09-25T12:09:37.876Z,Unplugged,3Ja3UnDqDN,0.95,23.5,2015-09-25T12:09:37.876Z
2015-09-25T09:24:23.636Z,Charging,3QbjMu9NGi,0.16,57,2015-09-25T09:24:23.636Z
2015-09-25T00:29:07.149Z,Unplugged,3bYpkZFjYj,0.51,49.5,2015-09-25T00:29:07.149Z
2015-09-25T00:40:37.415Z,Unplugged,3svz6FwZnm,0.38,61,2015-09-25T00:40:37.415Z
2015-09-25T06:37:25.851Z,Charging,3wFkJHqVi9,0.2,7.5,2015-09-25T06:37:25.851Z
2015-09-25T00:05:07.434Z,Unplugged,4MJoncdHsx,0.79,25.5,2015-09-25T00:05:07.434Z
2015-09-25T07:13:34.750Z,Unplugged,4NhK25kEhc,0.34,30,2015-09-25T07:13:34.750Z
2015-09-25T07:14:35.266Z,Unplugged,4SLLKqnamr,0.34,31,2015-09-25T07:14:35.266Z
2015-09-25T00:54:07.028Z,Unplugged,4SQAHVU7sl,0.26,74.5,2015-09-25T00:54:07.028Z
2015-09-25T12:13:37.933Z,Unplugged,4ekgkb9HPJ,0.94,27.5,2015-09-25T12:13:37.933Z
2015-09-25T00:23:07.121Z,Unplugged,4mDSlKz5IQ,0.58,43.5,2015-09-25T00:23:07.121Z
2015-09-25T03:31:31.093Z,Unplugged,4wwsLpOW8h,0.14,92.5,2015-09-25T03:31:31.093Z
2015-09-24T23:57:36.382Z,Unplugged,53bQP2uqfc,0.86,18,2015-09-24T23:57:36.382Z
2015-09-25T12:07:07.880Z,Unplugged,59NGUS2Q05,0.95,21,2015-09-25T12:07:07.880Z
2015-09-25T00:34:06.620Z,Unplugged,5MqfXMEx9i,0.45,54.5,2015-09-25T00:34:06.620Z
2015-09-25T07:10:34.896Z,Unplugged,5O908aBDX5,0.36,27,2015-09-25T07:10:34.896Z
2015-09-25T00:19:37.116Z,Unplugged,5ViLGY6COX,0.62,40,2015-09-25T00:19:37.116Z
2015-09-25T07:05:35.257Z,Unplugged,5bG7VjjAnt,0.37,22,2015-09-25T07:05:35.257Z
2015-09-25T00:02:08.934Z,Unplugged,5mmjKJv1Y7,0.82,22.5,2015-09-25T00:02:08.934Z
2015-09-25T07:05:05.219Z,Unplugged,5zUGRO8wsh,0.37,21.5,2015-09-25T07:05:05.219Z
2015-09-24T23:54:36.559Z,Unplugged,66e0n6z6Pc,0.89,15,2015-09-24T23:54:36.559Z
2015-09-25T09:37:23.557Z,Charging,6G7UUOgENy,0.33,70,2015-09-25T09:37:23.557Z
2015-09-25T07:04:05.090Z,Unplugged,6ljMPHxMZx,0.37,20.5,2015-09-25T07:04:05.090Z
2015-09-25T00:30:06.829Z,Unplugged,6o3RQFfpT0,0.5,50.5,2015-09-25T00:30:06.829Z
2015-09-25T00:15:07.060Z,Unplugged,6xWId73gkE,0.67,35.5,2015-09-25T00:15:07.060Z
2015-09-25T00:46:07.546Z,Unplugged,6zRcGzgNhA,0.32,66.5,2015-09-25T00:46:07.546Z
2015-09-25T00:33:36.979Z,Unplugged,7GWFcAwzY2,0.46,54,2015-09-25T00:33:36.979Z
2015-09-25T06:38:55.858Z,Charging,7GmCXU2Wfc,0.22,9,2015-09-25T06:38:55.858Z
2015-09-25T09:26:24.181Z,Charging,7adQSg54nR,0.19,59,2015-09-25T09:26:24.181Z
2015-09-25T00:10:07.014Z,Unplugged,86GjGAXGsy,0.73,30.5,2015-09-25T00:10:07.014Z
2015-09-24T23:41:37.208Z,Unplugged,88lhsAgF84,0.97,2,2015-09-24T23:41:37.208Z
2015-09-25T09:37:52.689Z,Charging,88suQ61EmX,0.33,70.5,2015-09-25T09:37:52.689Z
2015-09-24T23:59:07.061Z,Unplugged,8Pu6A7yeem,0.85,19.5,2015-09-24T23:59:07.061Z
2015-09-25T11:19:33.921Z,Charging,8Wu5rdnpuc,0.97,9,2015-09-25T11:19:33.921Z
2015-09-25T00:55:36.949Z,Unplugged,8nSGcMXujV,0.25,76,2015-09-25T00:55:36.949Z
2015-09-25T03:35:30.190Z,Unplugged,90nwbtNlPt,0.14,96.5,2015-09-25T03:35:30.190Z
2015-09-25T06:34:25.842Z,Charging,940lQlqhHg,0.17,4.5,2015-09-25T06:34:25.842Z
2015-09-25T01:00:36.980Z,Unplugged,978ubkkAv4,0.24,81,2015-09-25T01:00:36.980Z
2015-09-24T23:45:06.896Z,Unplugged,9A5Dzj8B2U,0.96,5.5,2015-09-24T23:45:06.896Z
2015-09-25T00:39:37.082Z,Unplugged,9EQ9dvBhBJ,0.38,60,2015-09-25T00:39:37.082Z
2015-09-25T09:38:23.233Z,Charging,9IjwA9fBIS,0.33,71,2015-09-25T09:38:23.233Z
2015-09-25T00:48:07.180Z,Unplugged,9Y5xWLe03B,0.29,68.5,2015-09-25T00:48:07.180Z
